mode,steps,n,fid_mean,fid_sample_sd,generation_seconds_mean
no_clip,10,3,10.486066298161253,0.0801208783797928,5.293488475665716
no_clip,20,3,5.404580736804083,0.05835101428345051,10.313500865333367
no_clip,50,3,4.878176880488543,0.06103352094384766,25.428743067001545
no_clip,200,3,5.447246120068191,0.08218565249587678,100.84800686100016
clip_original,10,3,11.038862566877668,0.0700067140261109,5.32504085599938
clip_original,20,3,6.369392775684976,0.0473335139182256,10.333606005666903
clip_original,50,3,7.707417039785649,0.07315391794096475,25.57029298133254
clip_original,200,3,17.471089159657406,0.09948037118482027,101.83746606900104
clip_recompute,10,3,10.832144394683533,0.06347758026124399,5.3527407340010695
clip_recompute,20,3,5.639025371873781,0.06593096081522784,10.56676856600014
clip_recompute,50,3,5.1213856627538705,0.052056179170139605,25.977564028666546
clip_recompute,200,3,5.680345568427422,0.0690649583315137,102.91790953333339
